DateTime, Latitude, Longitude, Temp, Humidity, Pressure, Yaw, Pitch, Roll, MagX, MagY, MagZ, AccX, AccY, AccZ, GyroX, GyroY, GyroZ, State
42:10.2,32.90814541,-80.10053636,32.947,36.773,1018.854,206.351807,350.06174,11.154824,-15.339368,16.646729,87.308151,0.242203,0.27387,0.752536,-0.013213,-0.320754,0.177723,walking
42:10.4,32.90814541,-80.10053636,33,37.447,1018.85,203.086663,347.358834,13.860773,-13.838079,17.807152,87.762268,0.207776,0.273142,1.110039,0.438522,-0.398028,0.024701,walking
42:10.6,32.90814541,-80.10053636,32.965,36.703,1018.845,199.68333,346.369036,18.483472,-11.841307,18.569136,87.877914,0.193472,0.303734,0.699654,0.412561,-0.00738,-0.077619,walking
42:10.7,32.90814541,-80.10053636,32.858,36.65,1018.847,195.408956,345.971661,20.75147,-11.143682,19.56777,86.797699,0.244385,0.235023,0.548562,-0.055068,0.134727,-0.006068,walking
42:10.9,32.90814541,-80.10053636,32.982,36.404,1018.854,193.608259,346.758744,16.025774,-11.322271,19.94326,87.566353,0.144498,0.183308,0.915325,-0.353476,0.308213,-0.122743,walking
42:11.1,32.90814541,-80.10053636,32.84,36.547,1018.862,192.474543,350.924178,11.041144,-12.121119,18.941572,87.989861,0.21311,0.061669,1.397845,-1.244728,0.784382,-0.026532,walking
42:11.2,32.90814541,-80.10053636,32.734,36.172,1018.872,194.173744,356.957519,5.844954,-14.660127,16.81517,88.09697,0.067642,0.046373,0.979905,-0.060872,-0.007605,0.050437,walking
42:11.4,32.90815298,-80.10053636,32.822,36.863,1018.869,195.233803,357.499542,6.800432,-16.298603,15.041291,88.227654,0.198806,0.168984,0.758872,0.068021,0.124037,0.151841,walking
42:11.6,32.90815298,-80.10053636,32.858,36.441,1018.866,196.452609,357.86989,9.987979,-16.505957,14.674548,87.964386,0.091645,0.102701,1.058619,0.397583,0.095631,0.221785,walking
42:11.7,32.90815298,-80.10053636,32.805,36.524,1018.868,203.611959,1.324648,8.17829,-16.703152,15.675894,87.068085,-0.060228,-0.093113,1.153661,0.609248,-0.164597,0.113356,walking
42:11.9,32.90815298,-80.10053636,32.698,36.431,1018.871,206.912361,0.177748,7.011751,-16.4069,16.859674,86.668381,0.062066,0.151988,0.677965,-0.432583,-0.375651,0.159477,walking
42:12.1,32.90815298,-80.10053636,32.805,36.903,1018.875,204.619958,1.769312,5.73112,-16.37516,16.803711,87.041977,0.133103,0.252504,0.840754,-0.082863,0.441687,-0.040887,walking
42:12.2,32.90815298,-80.10053636,32.947,36.514,1018.872,199.256361,359.085853,5.03667,-17.163486,16.659937,87.017723,0.216262,0.050258,1.496055,-0.300636,0.521405,0.322883,walking
